ITEM_20150317_000001	Empty_helmet 	Empty_Helmet
ITEM_20150317_000027	Its heavy weight is compensated by its very powerful slash. 	Beratnya sesuai dengan tebasannya yang kuat.
ITEM_20150317_000028	Kris 	Kris
ITEM_20150317_000029	Its twisted edge amplifies the damage it inflicts. A sword that is both practical and ornamental. 	Praktis dan mudah digunakan. Namun tetap dapat menghasilkan damage yang kuat.
ITEM_20150317_000030	Snickersnee 	Snickersnee
ITEM_20150317_000031	Its extremely sharp blade makes it a favorite among even the most experienced swordsmen. 	Kekutannya dalam memotong disukai oleh para ahli pedang.
ITEM_20150317_000032	Crude Shamshir	Crude Shamshir
ITEM_20150317_000033	Crude Scimitar	Crude Scimitar
ITEM_20150317_000034	Soldier's Gladius 	Soldier's Gladius
ITEM_20150317_000035	A basic armament provided to full-time soldiers. Its overall quality is better than those sold in the market.	Senjata dasar untuk prajurit. Kualitasnya lebih baik daripada yang ada di pasaran.
ITEM_20150317_000036	Mayor's Falchion 	Mayor's Falchion
ITEM_20150317_000037	Looking at this weapon raises suspicions on its previous owner's past. 	Bentuk senjatanya membuat curiga terhadap pemilik sebelumnya.
ITEM_20150317_000038	Crude Kaskara	Crude Kaskara
ITEM_20150317_000039	Moplah 	Moplah
ITEM_20150317_000040	This sword combines both practicality and aesthetics. 	Pedang ini menggabungkan nilai keindahan dan kegunaan.
ITEM_20150317_000041	Heavy Gladius	Heavy Gladius
ITEM_20150317_000042	Falchion 	Falchion
ITEM_20150317_000043	Heavy Falchion	Heavy Falchion
ITEM_20150317_000044	Kaskara 	Kaskara
ITEM_20150317_000045	Heavy Chinqueda	Heavy Cinquedea
ITEM_20150317_000046	Heavy Sabre	Heavy Sabre
ITEM_20150317_000047	Heavy Shamshir	Heavy Shamshir
ITEM_20150317_000048	Dunkel Sabre 	Dunkel Sabre
ITEM_20150317_000049	Dunkel Snickersnee 	Dunkel Snickersnee
ITEM_20150317_000050	Dunkel Falchion 	Dunkel Falchion
ITEM_20150317_000051	Dunkel Kaskara 	Dunkel Kaskara
ITEM_20150317_000052	Dunkel Cinquedea 	Dunkel Cinquedea
ITEM_20150317_000053	Dunkel Shamshir 	Dunkel Shamshir
ITEM_20150317_000054	Kozuka 	Kozuka
ITEM_20150317_000055	No tooltip available	Tidak memiliki pegangan khusus
ITEM_20150317_000056	Badelaire 	Badelaire
ITEM_20150317_000057	Saif 	Saif
ITEM_20150317_000058	Colichemarde 	Colichemarde
ITEM_20150317_000059	Firangi 	Firangi
ITEM_20150317_000060	Thorn Cutter 	Thorn Cutter
ITEM_20150317_000061	Demion Sword 	Demion Sword
ITEM_20150317_000062	Master Sword 	Master Sword
ITEM_20150317_000063	Panto Sword 	Panto Sword
ITEM_20150317_000064	A crude sword used by the Panto. You could craft a better version yourself. 	Pedang yang digunakan oleh panto, Pedang panto yang lebih baik dapat kamu buat sendiri.
ITEM_20150317_000065	Flonas Sabre 	Flonas Sabre
ITEM_20150317_000066	Some say this weapon unleashes the grudge that plants hold against beasts. 	Ada yang mengatakan pedang ini menyimpan dendam tanaman kepada hewan.
ITEM_20150317_000067	Golden Falchion 	Golden Falchion
ITEM_20150317_000068	Possibly due to gold's correlation with fortune, the Golden Falchion bestows its wielder with good luck during battle. Of course, it severely harms its foes. 	Karena emas berhubung dengan keberuntungan, Golden Falchion memberikan keberuntungan kepada pemegangnya. Memberikan kesialan terhadap musuhnya.
ITEM_20150317_000069	Steel Falchion 	Steel Falchion
ITEM_20150317_000070	The Steel Falchion is a good choice for those pursuing precision in their swordsmanship. 	Steel Falchion sangat cocok untuk kamu yang menginginkan akurasi.
ITEM_20150317_000071	Silver Falchion 	Silver Falchion
ITEM_20150317_000072	Its light weight and sturdiness allows the swordsman to unleash his full potential during an attack. 	Sifat ringan dan kuatnya memberikan kamu mengeluarkan potensi terbaik saat bertarung.
ITEM_20150317_000073	Mandrapick 	Mandrapick
ITEM_20150317_000074	This sword is said to clear its wielder's mind with its Mandragora essence. 	Pedang ini dapat membersihkan pikiran pemegannya dengan jiwa mandragora.
ITEM_20150317_000075	Wizard Blade 	Wizard Blade
ITEM_20150317_000076	You should never ridicule a wizard for wielding a sword, especially if that sword is the Wizard Blade. 	Jangan pernah meremehkan wizard yang memegang pedang, apalagi jika pedang yang digunakan adalah Wizard Blade.
ITEM_20150317_000077	Cheminis Sword 	Cheminis Sword
ITEM_20150317_000078	This sword is made from a recipe developed by an alchemist from the Winterspoon family, who claimed that he could make a better sword than a blacksmith. 	Pedang ini dibuat oleh keluarga alchemist winterspoon. Dikatakan pedang ini lebih baik daripada pedang yang dibuat oleh BlackSmith.
ITEM_20150317_000079	Austas 	Austas
ITEM_20150317_000080	This sword is worthy of its steep price. However, merchants would prefer that you return to buy other weapons than continue using it for a long time. 	Pedang ini pantas mendapatkan harga mahal. Namun pedagang pedang akan lebih suka kalau kamu kembali untuk membeli senjata lain daripada menggunakan satu senjata dalam waktu lama.
ITEM_20150317_000081	Miskas Sabre 	Miskas Sabre
ITEM_20150317_000082	This weapon will make your swordsmanship swifter. 	Senjata ini membuat kemampuan berpedangmu semakin cepat.
ITEM_20150317_000083	Imperni Sword 	Imperni Sword
ITEM_20150317_000084	Veterans will often recount the thrill they experienced when advancing from a novice and first holding this sword. 	Tidak sulit untuk menemukan veteran yang menceritakan pengalaman mereka dengan pedang ini.
ITEM_20150317_000085	Gritas 	Gritas
ITEM_20150317_000086	A sword used by valiant adventurers. Ironically, it is often found on strong monsters. A person who obtains this sword is unknowingly exacting revenge for its previous owner. 	Pedang yang digunakan oleh petualang yang pemberani. Ironisnya, karena sering bertemu monster kuat, seseorang yang mendapatkan pedang ini memiliki dendam kepada pemilik sebelumnya
ITEM_20150317_000087	Spatha 	Spatha
ITEM_20150317_000088	An improved version of the Gladius made by extending the blade length.	Versi yang lebih kuat dari gladius dengan menambahkan panjang mata pisaunya.
ITEM_20150317_000089	Aras' Falchion 	Aras Falchion
ITEM_20150317_000090	This weapon gives you the opportunity to experience the capabilities of a Falchion. 	Senjata ini memberikanmu kesempatan untuk merasakan Falchion dengan kualitas terbaik.
ITEM_20150317_000091	Smith Sword 	Smith Sword
ITEM_20150317_000092	- 2% chance to inflict an additional 600% damage	2% kemungkinan menyebabkan tambahan +600% damage.
ITEM_20150317_000093	This sword occasionally gleams with the craftsmanship of its creator.	Pedang ini bersinar saat dibuat oleh pembuatnya.
ITEM_20150317_000094	Klavis Sword 	Klavis Sword
ITEM_20150317_000095	Despite its quality, it sells relatively well. 	Dibandingkan kualitasnya, penjualannya cukup laku.
ITEM_20150317_000096	Dio Sword 	Dio Sword
ITEM_20150317_000097	Thresh Sword 	Thresh Sword
ITEM_20150317_000098	Sestas Sword 	Sestas Sword
ITEM_20150317_000099	Dratt Sword 	Drat Sword
ITEM_20150317_000100	Aston Sword 	Aston Sword
ITEM_20150317_000101	Devi Sword	Devi Sword
ITEM_20150317_000102	Prima Sword	Prima Sword
ITEM_20150317_000103	Trinity Sword 	Trinity Sword
ITEM_20150317_000104	If you're unsatisfied with one type of Falchion, this is an alternative. However, you'll have to bear the extra cost for its crafting. 	Jika kamu tidak puas dengan satu jenis falchion, inilah solusinya. Namun kamu harus menambah pembayaran untuk biaya pembuatannya.
ITEM_20150317_000105	Durandal 	Durandal
ITEM_20150317_000106	Many adventurers name their best sword after this weapon. This was the name of the sword wielded by an ancient warrior chosen by a goddess. 	Banyak petualang yang menamakan pedang terbaiknya seperti nama pedang ini. Namanya berasal dari senjata yang dipakai oleh Ancient Goddess.
ITEM_20150317_000107	Velniup 	Velniup
ITEM_20150317_000108	People will even go so far as to say that this weapon is overly cruel. 	Orang-orang menganggap senjata ini adalah senjata yang sadis.
ITEM_20150317_000109	Fortis 	Fortis
ITEM_20150317_000110	While unpopular during the Great Plant Cataclysm, the resurgence of strongly armored monsters is proving its value.	Tidak populer selamaGreat Plant Catalysm, kebangkitan monster  dengan pertahanan yang kuat membuktikan nilainya.
ITEM_20150317_000111	Chapparition Cutter	Chapparition Cutter
ITEM_20150317_000112	According to a theory, this sword is also used in conflicts amongst the demons. 	Berdasarkan teori, pedang ini juga digunakan oleh Demon.
ITEM_20150317_000113	Deathweaver Cutter 	Deathweaver Cutter
ITEM_20150317_000114	One becomes the deathbringer by wielding this blade.	Pemegang pedang ini akan menjadi Pembawa kematian. / Sekarang kau pemilik pedang ini, Kau pasti akan menjadi pembawa kematian.
ITEM_20150317_000115	Chapparition Sword 	Chapparition Sword
ITEM_20150317_000116	This serves as indirect evidence for the disputes between demons.	Pedang ini juga bukti secara langsung kalau ada perselihan dengan Demon.
ITEM_20150317_000117	Bendras Sword 	Bendras Sword
ITEM_20150317_000118	A sword carrying the might of a goddess that has smited many evils in the past. 	Pedang yang membawa kekuatan Goddess  yang membasmi kejahatan di masa lalu.
ITEM_20150317_000119	Illizia 	Illizia
ITEM_20150317_000120	This blade severely threatens both the life of its foe and the owner's finances. Of course, most swordsmen ignore the latter effect. 	Pedang ini membahayan nyawa musuh dan keuangan si pemilik. Tentu saja faktor kedua sering diabaikan oleh para swordman.
ITEM_20150317_000121	Scheduled for deletion 	Dijadwalkan untuk penghapusan
ITEM_20150317_000122	Two-handed Sword [Slash] 	Two-Handed Sword [Slash]
ITEM_20150317_000123	Dunkel Bastard Sword 	Dunkel Bastard Sword
ITEM_20150317_000124	Some master craftsman and soldiers call this a 'mixed style two-handed sword.' They say this to justify themselves. 	Para pembuat dan pasukan menyebutnya "campuran gaya dari two handed sword".
ITEM_20150317_000125	Flamberge 	Flamberge
ITEM_20150317_000126	If you're an expert in two-handed weapons, the wave shaped edge can cause massive damage. 	Jika kamu ahli dalam two handed weapon, sisi yang bergelombang dapat menghasilkan damage yang besar.
ITEM_20150317_000127	Nodachi 	Nodachi
ITEM_20150317_000128	A Nodachi with a length 'just right' can amplify its slashing power and dominate the space between the wielder and their foe. 	Nodachi dapat meningkatkan jarak antara pemegangnya dengan musuh.
ITEM_20150317_000129	Claymore 	Claymore
ITEM_20150317_000130	Claymores of this kingdom are made with an emphasis in weight and power.	Semua claymore di kerajaan kami dibuat dengan perhitungan kekuatan dan berat.
ITEM_20150317_000131	Colossus 	Colossus
ITEM_20150317_000132	The unusual fan-shaped blade offers potential to amplify its power and versatility to be adapted in many techniques. 	Bentuknya disesuaikan untuk memperkuat fleksibilitas dan kecocokan semua teknik.
ITEM_20150317_000133	Caliburn 	Caliburn
ITEM_20150317_000134	Frequently carried by high ranking soldiers. 	Sering digunakan oleh Prajurit tingkat atas.
ITEM_20150317_000135	Quaddara 	Quaddara
ITEM_20150317_000136	Contrary to its appearance, this sword is double-edged and often used by swordsmen pursuing practicality. 	Berbeda dengan penampilannya, pedang ini memiliki dua mata dan sering digunakan oleh para swordsman karena praktis.
ITEM_20150317_000137	Light Claymore 	Light Claymore
ITEM_20150317_000138	The structure of this sword allows its user to perform a stabbing attack. 	Bentuk pisau memungkinkan kamu untuk melakukan serangan strikedown.
ITEM_20150317_000139	Crude Colossus	Coarse Colossus
ITEM_20150317_000140	Ilwoon 	Ilwoon 
ITEM_20150317_000141	The Great Ruklys carried this sword in his early days. 	Pada mulanya, Great Ruklys membawa pedang ini.
ITEM_20150317_000142	Practice Bastard Sword 	Practice Bastard Sword 
ITEM_20150317_000143	Bastard Sword 	Bastard Sword
ITEM_20150317_000144	Heavy Flamberge	Heavy Flamberge
ITEM_20150317_000145	Heavy Nodachi	Heavy Nodachi
ITEM_20150317_000146	Heavy Claymore	Heavy Claymore
ITEM_20150317_000147	Dunkel Nodachi 	Dunkel Nodachi
ITEM_20150317_000148	Dunkel Quaddara 	Dunkel Quaddara
ITEM_20150317_000149	Dunkel Flamberge 	Dunkel Flamberge
ITEM_20150317_000150	Dunkel Claymore 	Dunkel Claymore
ITEM_20150317_000151	Greatsword 	Greatsword
ITEM_20150317_000152	Katzbalger 	Katzbalger
ITEM_20150317_000153	Dress Sword 	Dress Sword
ITEM_20150317_000154	Zweihander 	Zweihander
ITEM_20150317_000155	Executioner's Sword 	Executioner's Sword
ITEM_20150317_000156	Lumai Two-handed Sword 	Lumai Two-Handed Sword
ITEM_20150317_000157	Overknife 	Overknife
ITEM_20150317_000158	Potentia 	Potentia
ITEM_20150317_000159	A great alternative for those unsatisfied with a regular Flamberge. 	Solusi yang baik jika kamu menginginkan Flamberge yang tidak biasa.
ITEM_20150317_000160	Temsus Flamberge 	Temsus Flamberge
ITEM_20150317_000161	A sword with great capacity for improvement that compliments the wielder's innate power. Try its potential for yourself. 	Pedang yang dapat memperkuat skill dan tekhnik bertarung kamu.
ITEM_20150317_000162	Didel Colossus 	Didel Colossus
ITEM_20150317_000163	This sword is for those who seek more weight, more power, and more reach in their slashes. 	Pedang ini cocok buatmu yang menginginkan kekuatan lebih, jarak dan kekuatannya telah ditingkatkan.
ITEM_20150317_000164	Collecture 	Collecture
ITEM_20150317_000165	Though popular in battles today, this weapon was considered a decorative or collectible item prior to the Great Plant Cataclysm.	Senjata ini banyak digunakan sebagai hiasan sebelum dimulainya Great Plant Catalysm.
ITEM_20150317_000166	Hogma Greatsword 	Hogma Great Sword
ITEM_20150317_000167	How the Hogmas obtained or crafted this weapon is unimportant. We are more concerned with crafting and using it ourselves. 	Tidak diketahui bagaimana Hogman dapat membuat senjata ini. Kita hanya bisa membuat dan menggunakannya.
ITEM_20150317_000168	Cheminis Bastard Sword 	Cheminis Bastard Sword
ITEM_20150317_000169	In the wake of the Great Plant Cataclysm, the Winterspoon family disclosed the crafting recipe for this weapon to all alchemists.	Saat terjadi  Great Plant Cataclysm, Resep pembuatan untuk senjata ini telah disebarkan ke semua alchemist.
ITEM_20150317_000170	Primaluce 	Primaluce
ITEM_20150317_000171	Swordsmen seeking raw power in a weapon frequently choose this sword as their first magic sword. 	Swordsman yang mencari kekuatan murni menjadikan pedang ini sebagai magic sword pertamanya.
ITEM_20150317_000172	Kindzal 	Kindzal
ITEM_20150317_000173	Those who like to temper their weapons craft this sword for their own use. 	Pedang yang cocok buat kamu yang suka memperkuat senjata.
ITEM_20150317_000174	Imperni Two-handed Sword 	Imperni Two-Handed Sword
ITEM_20150317_000175	If you got this sword through the black market, it is clear evidence that you have obtained a certain level of reliability. 	Jika kamu mendapatkan pedang ini di pasar gelap. Adalah bukti kalau pedang tersebut diperoleh dari orang terpercaya.
ITEM_20150317_000176	Prieblanda 	PrieblKamu
ITEM_20150317_000177	This sword shares the same inventor with the 'Primaluce' sword. 	Pedang ini memiliki pembuat yang sama dengan Primaluce Sword
ITEM_20150317_000178	Lapis Katzbalger 	Lapis Katzbalger
ITEM_20150317_000179	The enhancement of Katzbalger has been developed less than 100 years ago. Thus the crafting recipe for this weapon is unrelated to Ruklys. 	Katzbalger yang dibuat 100 tahun yang lalu. Sehingga tidak memiliki hubungan dengan Ruklys.
ITEM_20150317_000180	Smith Two-handed Sword 	Smith Two-Handeded Sword
ITEM_20150317_000181	Since Medzio Diena, fewer people have been concerned about the instability of magic weapons.	Semenjak Day of Descent. Makin kurang orang yang memperhatikan ketidak stabilan kekuatan magic.
ITEM_20150317_000182	Klavis Two-handed Sword 	Klavis Two-Handed Sword
ITEM_20150317_000183	This sword can be a trustworthy extension of both your hands. 	Pedang ini dapat dipercaya kekuatannya oleh kamu.
ITEM_20150317_000184	Thresh Two-handed Sword 	Thresh Two-Handed Sword
ITEM_20150317_000185	Sestas Two-handed Sword 	Sestas Two-Handed Sword
ITEM_20150317_000186	Dratt Two-handed Sword 	Drat Two-Handed Sword
ITEM_20150317_000187	Aston Two-handed Sword 	Aston Two-Handed Sword
ITEM_20150317_000188	Devi Tow-Handed Sword	Debby Two-Handed Sword
ITEM_20150317_000189	Prima Two-handed Sword	Prima Two-Handed Sword
ITEM_20150317_000190	Flamini 	Flamini
ITEM_20150317_000191	A good sword that has long been regarded as a necessity when facing demons. 	Pedang yang bagus untuk melawan bangsa Demon.
ITEM_20150317_000192	Wizard Slayer 	Wizard Slayer
ITEM_20150317_000193	Novice Wizards often pay no mind to this particular weapon. However, a seasoned one knows to steer away from its unseen power. 	Wizard biasa sering mengabaikan pedang ini, namun Wizard yang tahu tentang senjata ini  tentunya tidak akan melakukannya.
ITEM_20150317_000194	Two-handed Sword [Strike] 	Two-Handed Sword [Strike]
ITEM_20150317_000195	Like a flying dagger thrown in the darkest hours of the night, Naktis deals an unforeseen blow to its target. 	Bagaikan dagger yang melesat di kegelapan malam, Naktis memberikan serangan yang tidak terlihat.
ITEM_20150317_000196	Luciduce 	Luciduce 
ITEM_20150317_000197	Although some people dismiss this weapon as a 'tree cutting axe', its actual users will tell you that the Great Plant Cataclysm would have resulted in far worse losses without it.	Meskipun orang-orang menyebutnya sebagai 'kapak pemotong kpohon', senjata ini sangat berperan besar saat terjadi  Great Plant Cataclysm.
ITEM_20150317_000198	Hell and Heaven 	Hell and Heaven
ITEM_20150317_000199	There's a saying that claims that 'offense is the best defense.' Prove it with this weapon. 	Ada pepatah mengatakan'pertahanan terbaik adalah serangan yang bagus'. Buktikan olehmu dengan senjata ini.
ITEM_20150317_000200	Deathweaver Tooth 	Deathweaver Tooth
ITEM_20150317_000201	Chapparition Two-handed Sword 	Faktanya, Deathweaver tidak digunakan dalam proses pembuatan senjata ini.
ITEM_20150317_000202	Chapparition Two-handed Sword 	Chapparition Two-Handed Sword
ITEM_20150317_000203	Great power can sometimes be found from the intangible. Sometimes the volumeless can overpower the heavy.	Suatu saat, kekuatan besar dapat ditemukan pada hal-hal yang kecil. Suatu saat, beban yang berat dapat mudah dimanipulasi menjadi ringan.
ITEM_20150317_000204	Nulis 	Nulis
ITEM_20150317_000205	Lends great power against beings who do not belong to the realms of night and day. 	Sanga efektif untuk menyerang makhluk yang tidak memiliki siang dan malam.
ITEM_20150317_000206	Gravity 	Gravity
ITEM_20150317_000207	Gravity cannot be avoided by anyone or anything. But if one adapts to it, no one can underestimate its power. 	Gravity tidak dapat dihindari, siapapun dirimu. Jika kamu sudah terbiasa, kekuatannya tidak dapat diremehkan..
ITEM_20150317_000208	Crude Short Rod	Crude Short Rod
ITEM_20150317_000209	Rod [Strike] 	Rod [Strike]
ITEM_20150317_000210	A rod that all students of magic will use. 	Jika kamu belajar magic, kau tentu akan memilih ini.
ITEM_20150317_000211	Short Rod 	Short Rod
ITEM_20150317_000212	Magicians that graduate from their apprenticeship often switch to this weapon. 	Ketika magicians telah lulus ujian, mereka akan mulai menggunakan senjata.
ITEM_20150317_000213	Low Long Rod	Low Long Rod
ITEM_20150317_000214	The decorations found in a mage's equipment are added for function, not only for appearance. 	Hiasannya memiliki fungsi tertentu, dan bukan hanya untuk hiasan.
ITEM_20150317_000215	Low Cane Rover	Low Cane Rover
ITEM_20150317_000216	When a rod is painstakingly carved by a famous wizard, it is bound to contain mystical power. 	Rod ini telah digunakan oleh Wizard terkenal, ia memiliki magic power yang kuat.
ITEM_20150317_000217	Cane 	Cane
ITEM_20150317_000218	You can customize this rod further if you can supply the materials. 	banyak cara untuk memodifikasi rod mu, walau bukan kamu yang membuatnya.
ITEM_20150317_000219	Crook 	Crook
ITEM_20150317_000220	Legends say that evil wizards were the first to start using this weapon. 	Legenda mengatakan, wizard yang jahat telah menggunakan senjata ini.
ITEM_20150317_000221	Pewter Rod 	Pewter Rod
ITEM_20150317_000222	It was once a popular weapon among ambitious young wizards. 	Senjata yang populer diantara wizard yang ambisius.
ITEM_20150317_000223	Owl Rod 	Owl Rod
ITEM_20150317_000224	The decoration is popular among experienced wizards. 	Desainya disukai oleh wizard yang berpengalaman.
ITEM_20150317_000225	Rune Rod 	Rune Rod
ITEM_20150317_000226	A magical rune is used to amplify the power of this rod. 	Telah menggunakan magic Rune untuk memperkuat rod.
ITEM_20150317_000227	Crystal Rod 	Crystal Rod
ITEM_20150317_000228	A precise fitting of the jewel to the shaft is required to craft this rod. 	Ketelitian dibutuhkan saat membuat rod ini.
ITEM_20150317_000229	Crude Pewter Rod	Crude Pewter Rod
ITEM_20150317_000230	Crude Owl Rod	Crude Owl Rod
ITEM_20150317_000231	Soldier's Short Rod 	Soldier's Short Rod
ITEM_20150317_000232	This rod was given to magicians who joined the army. Though the procedure has been abolished since the Great Plant Cataclysm, an abundant stock still remains.	Rod in diperuntukkan untuk magicians yang bergabung dalam pasukan. Bahan-bahannya terbuat dari sisa Great Catalysm.
ITEM_20150317_000233	Chieftain's Long Rod 	Chieftain's Long Rod
ITEM_20150317_000234	The shape of this rod was popular in the past. Although old-fashioned, the rod performs rather decently. 	Bentuknya sangat populer di masa lalu. Memiliki desain yang antik.
ITEM_20150317_000235	Curde Cane Rover	Curde Cane Rover
ITEM_20150317_000236	Battle Rod 	Battle Rod
ITEM_20150317_000237	Besides the assistance in casting magic, this rod was also designed for physical combat. 	Tidak hanya untuk casting magic, rod ini juga dapat digunakan untuk physical combat.
ITEM_20150317_000238	Heavy Short Rod	Heavy Short Rod
ITEM_20150317_000239	Long Rod 	Long Rod
ITEM_20150317_000240	Heavy Long Rod	Heavy Long Rod
ITEM_20150317_000241	Cane Rover 	Cane Rover
ITEM_20150317_000242	Heavy Cane	Heavy Cane
ITEM_20150317_000243	Heavy Crook	Heavy Crook
ITEM_20150317_000244	Heavy Pewter Rod	Heavy Pewter Rod
ITEM_20150317_000245	Dunkel Crook 	Dunkel Crook
ITEM_20150317_000246	Dunkel Crystal Rod 	Dunkel Crystal Rod
ITEM_20150317_000247	Dunkel Long Rod 	Dunkel Long Rod
ITEM_20150317_000248	Dunkel Cane Rover 	Dunkel Cane Rover
ITEM_20150317_000249	Dunkel Cane 	Dunkel Cane
ITEM_20150317_000250	Dunkel Pewter Rod 	Dunkel Pewter Rod
ITEM_20150317_000251	Snake Rod 	Snake Rod
ITEM_20150317_000252	Alter Rod 	Alter Rod
ITEM_20150317_000253	Nald Rod 	Nald Rod
ITEM_20150317_000254	Elder Rod 	Elder Rod
ITEM_20150317_000255	Meteor Rod 	Meteor Rod
ITEM_20150317_000256	Ring Rod 	Ring Rod 
ITEM_20150317_000257	Servant Rod 	Servant Rod
ITEM_20150317_000258	Panto Rod 	Panto Rod
ITEM_20150317_000259	Wizards have been discovering new facts from monsters emerging from the Great Plant Cataclysm and applying them to varying situations.	Wiard banyak menemukan hal baru mengenai monster semenjak Great Plant Catalysm.
ITEM_20150317_000260	Ice Rod 	Ice Rod
ITEM_20150317_000261	Rumor says that every time the crafting recipe for this rod is sold, part of the money goes to the Cryomancer Master. 	Rumor mengatakan setiap resep senjata ini terjual, sebagian uangnya diberikan kepada Master Cyromancer.
ITEM_20150317_000262	Fire Rod 	Fire Rod
ITEM_20150317_000263	Only the Pyromancer Master knows the method of infusing the power of the Goddess Gabija into these rods. 	Hanya Master Pyromancer yang mengetahui cara memasukkan keuatan Goddess Gabija kedalam rod.
ITEM_20150317_000264	Vasia Rod 	Vasia Rod
ITEM_20150317_000265	Although priests frown upon the manipulation of spirits during its manufacturing, wizards ignore this objection. 	Priest telah menggunakan spirits dalam proses pembuatan senjata ini.
ITEM_20150317_000266	Magic Rod 	Magic Rod
ITEM_20150317_000267	A simple rod for enhancing magic, easily craftable by beginner mages. 	Rod sederhana yang memiliki kekuatan magic. Sangat mudah dibuat oleh Magician pemula.
ITEM_20150317_000268	Grynas Rod 	Grynas Rod 
ITEM_20150317_000269	The increase in demons after the Great Plant Cataclysm increased the price of this already-expensive rod.	Jumlah demon yang meningkat semenjak Great Plant Catalysm membuat harga rod ini melonjak naik.
ITEM_20150317_000270	Cheminis Rod 	Cheminis Rod 
ITEM_20150317_000271	Despite the similarity in the name with another weapon, this weapon has no direct relation to the Winterspoon family. 	Walau memiliki kemiripan nama dengan senjata lain, Rod ini tidak ada hubungannya dengan winterspoon family.
ITEM_20150317_000272	Arch Rod 	Arch Rod 
ITEM_20150317_000273	A weapon that fills the role of a stepping stone to advanced wizardry for aspiring wizards. Once the wizard achieves his objective for higher learning, this weapon is replaced by another. 	Rod yang digunakan wizard untuk batu pijakaan menaikkan kemampuanya, Saat mereka sudah memiliki Intelligence yang tinggi, Rod ini akan digantikan oleh rod lainnya.
ITEM_20150317_000274	Imperni Rod 	Imperni Rod
ITEM_20150317_000275	It is popular among wizards who like to stand out. 	Rod yang popular dikalangan wizard jenius.
ITEM_20150317_000276	Aras' Long Rod 	Aras' Long Rod 
ITEM_20150317_000277	It is often given as a small gift amongst wizards thanks to its affordable price. 	Sering digunakan sebagai hadiah pemberian dikalangan wizard karena harganya yang murah.
ITEM_20150317_000278	Smith Rod 	Smith Rod
ITEM_20150317_000279	This equipment is certainly odd, regardless of who uses it.	Siapapun yang menggunakan roid ini akan merasakan perbedaannya
ITEM_20150317_000280	Klavis Rod 	Klavis Rod
ITEM_20150317_000281	You may be the first wizard in history to ever use this weapon. 	Aku berharap kamulah wizard yang pertama menggunakan rod ini dalam sejarah.
ITEM_20150317_000282	Dio Rod 	Dio Rod
ITEM_20150317_000283	Thresh Rod 	Thresh Rod
ITEM_20150317_000284	Sestas Rod 	Sestas Rod
ITEM_20150317_000285	Dratt Rod 	Dratt Rod 
ITEM_20150317_000286	Aston Rod 	Aston Rod
ITEM_20150317_000287	Devi Rod	Devi Rod
ITEM_20150317_000288	Prima Rod	Prima Rod
ITEM_20150317_000289	Temere 	Temere
ITEM_20150317_000290	This rod's nickname is 'The Staff of Patience.' Legends say that Agailla Flurry, the greatest wizard in history, devised this rod to train her apprentices. 	Mendapat julukkan 'The Rod of Patience'. Legenda mengatakan Agailla Flurry,Wizard terhebat sepanjang sejarah,menggunakan rod ini untuk mengajari muridnya.
ITEM_20150317_000291	Ignition 	Ignition
